lsoa11cd,lsoa11nm,lsoa11nmw,st_areasha,st_lengths,IMD_Rank,IMD_Decile,LSOA01NM,LADcd,LADnm,IMDScore,IMDRank0,IMDDec0,IncScore,IncRank,IncDec,EmpScore,EmpRank,EmpDec,EduScore,EduRank,EduDec,HDDScore,HDDRank,HDDDec,CriScore,CriRank,CriDec,BHSScore,BHSRank,BHSDec,EnvScore,EnvRank,EnvDec,IDCScore,IDCRank,IDCDec,IDOScore,IDORank,IDODec,CYPScore,CYPRank,CYPDec,ASScore,ASRank,ASDec,GBScore,GBRank,GBDec,WBScore,WBRank,WBDec,IndScore,IndRank,IndDec,OutScore,OutRank,OutDec,TotPop,DepChi,Pop16_59,Pop60_,WorkPop,Shape__Are,Shape__Len,SpatialSeparationAccessibility,Gravity_Accessibility,Log_SpatialSeparation,Log_Gravity,Shape_Length,Shape_Area,ReciprocalSpatialSeparation,IMD_Decile2,Gravity_Accessibility_Decile,Pop_Den
E01000816,Bromley 040A,Bromley 040A,299020.8977,3336.754913,19874,7,Bromley 040A,E09000006,Bromley,14.081,19874,7,0.084,18903,6,0.064,20362,7,14.048,18125,6,-1.019,28976,9,0.363,10975,4,27.108,9164,3,20.821,14677,5,0.146,14384,5,0.065,26109,8,-0.216,19662,6,0.301,15815,5,0.106,13846,5,2.004,6914,3,-0.139,18654,6,0.726,6263,2,1473,275,862,336,864.25,768162.2406,5347.692377,98.547028,0.151894973,4.590533876,-1.884565964,0.039993442,3.8652E-05,0.010147439,10,1,1917.563663
E01000818,Bromley 040B,Bromley 040B,1292308.612,7407.91545,20548,7,Bromley 040B,E09000006,Bromley,13.454,20548,7,0.066,22262,7,0.057,22476,7,10.096,21734,7,-1.383,31275,10,0.574,8073,3,32.846,5170,2,17.92,16880,6,0.078,22683,7,0.076,24127,8,-0.538,24445,8,0.282,18072,6,0.697,5868,2,1.208,9678,3,-0.042,17123,6,0.271,11120,4,1517,269,854,394,871.25,3318887.258,11870.92342,109.1264891,0.796409985,4.692507659,-0.227641169,0.089096278,0.000167019,0.009163678,10,1,457.0809076
E01000819,Bromley 040C,Bromley 040C,397713.452,4383.762496,9866,4,Bromley 040C,E09000006,Bromley,26.536,9866,4,0.194,7069,3,0.12,9650,3,16,16581,6,-0.247,19828,7,0.642,7176,3,32.701,5262,2,24.467,12117,4,0.253,6745,3,0.31,4288,2,-0.271,20529,7,0.33,12711,4,-0.619,25801,8,4.254,2028,1,0.094,14988,5,0.763,5943,2,1732,350,1090,292,1070,1021457.128,7025.802832,95.16465677,4.194092478,4.55560862,1.433676982,0.051238295,5.14031E-05,0.010508103,10,2,1695.616931
E01000820,Bromley 008C,Bromley 008C,587458.4615,4838.355572,13461,5,Bromley 008C,E09000006,Bromley,21.127,13461,5,0.138,11662,4,0.127,8883,3,6.868,25186,8,-0.106,17666,6,0.608,7620,3,22.748,13480,5,20.864,14650,5,0.145,14523,5,0.156,13573,5,-0.424,22803,7,0.214,25798,8,-0.713,26992,9,2.672,5156,2,-0.104,18104,6,0.685,6626,3,1511,285,874,352,906.75,1508478.108,7751.786702,102.1428987,4.019887029,4.6263728,1.3912538,0.058965541,7.59185E-05,0.009790206,10,1,1001.671812
E01000822,Bromley 008D,Bromley 008D,218524.1186,2737.752583,20757,7,Bromley 008D,E09000006,Bromley,13.278,20757,7,0.102,16093,5,0.066,19818,7,6.928,25117,8,-0.176,18773,6,-0.095,18064,6,20.774,15744,5,21.48,14204,5,0.135,15509,5,0.173,12054,4,-0.543,24515,8,0.231,23871,8,-1.096,30458,10,2.533,5458,2,-0.018,16750,6,0.629,7148,3,1705,366,1052,287,1050.25,561098.1527,4386.992767,94.65986313,2.578398953,4.550290079,0.947168645,0.032470233,2.82398E-05,0.01056414,10,1,3038.684037
E01000823,Bromley 008E,Bromley 008E,242692.3416,3194.838599,22675,7,Bromley 008E,E09000006,Bromley,11.568,22675,7,0.062,23310,8,0.056,22919,7,1.878,31023,10,-0.773,26726,9,0.686,6665,3,24.928,11195,4,20.193,15130,5,0.067,24368,8,0.068,25540,8,-1.297,31164,10,0.173,29335,9,-0.366,21988,7,2.642,5223,2,-0.21,19766,7,0.749,6056,2,1686,343,1066,277,1062.5,623083.9067,5119.458166,100.3534626,1.195090439,4.60869858,0.178221863,0.037322211,3.13611E-05,0.009964778,10,1,2705.895597
E01000824,Bromley 008F,Bromley 008F,168851.5442,2847.715451,18531,6,Bromley 008F,E09000006,Bromley,15.415,18531,6,0.105,15600,5,0.074,17648,6,3.174,29539,9,-0.434,22560,7,0.306,11845,4,25.338,10803,4,28.484,9675,3,0.112,17982,6,0.216,8911,3,-1.263,31017,10,0.209,26287,9,-0.584,25288,8,3.028,4325,2,0.375,10875,4,0.689,6590,3,1247,264,815,168,816.75,433501.5086,4562.507895,94.88479471,7.136285118,4.552663468,1.965192349,0.034214203,2.18192E-05,0.010539096,10,10,2876.575918
E01000406,Bexley 005C,Bexley 005C,423508.323,3935.31608,11865,4,Bexley 005C,E09000004,Bexley,23.276,11865,4,0.15,10525,4,0.084,15402,5,20.805,13265,5,-0.179,18819,6,0.633,7299,3,33.11,5018,2,25.805,11289,4,0.235,7770,3,0.18,11480,4,0.13,13994,5,0.336,12144,4,0.076,14348,5,3.287,3780,2,0.375,10873,4,0.397,9529,3,1675,446,1022,207,993,1090645.403,6315.071541,99.71786305,2.487508086,4.602344829,0.911281441,0.046831532,5.48079E-05,0.010028294,10,1,1535.787888
E01000001,City of London 001A,City of London 001A,133320.7689,2291.846072,29199,9,City of London 001A,E09000001,City of London,6.208,29199,9,0.007,32831,10,0.01,32742,10,0.024,32842,10,-1.654,32113,10,-2.012,32662,10,29.472,7319,3,31.873,7789,3,0.006,32806,10,0.012,32820,10,-2.107,32777,10,0.032,32843,10,-0.43,22985,7,3.587,3216,1,0.006,16364,5,1.503,1615,1,1296,175,656,465,715,343907.4198,3682.43942,56.0028912,276.287828,4.025403318,5.621443177,0.025110537,1.72694E-05,0.017856221,10,10,3768.456059
E01000825,Bromley 008G,Bromley 008G,174391.9739,2714.826942,16991,6,Bromley 008G,E09000006,Bromley,17,16991,6,0.103,15863,5,0.089,14445,5,7.188,24827,8,-0.42,22388,7,-0.453,23156,8,30.078,6920,3,32.958,7222,3,0.127,16318,5,0.121,17259,6,-0.385,22240,7,0.215,25713,8,-0.158,18518,6,3.257,3844,2,0.488,9366,3,0.908,4786,2,1687,302,1094,291,1100.75,447666.2737,4349.561288,97.93814933,3.575663695,4.58433615,1.274150808,0.032128093,2.25335E-05,0.010210526,10,1,3768.432198
