Code,Name,LAD code,Borough,Total Mean Annual Household Income estimate,Total Median Annual Household Income estimate
E01000001,City of London 001A,E09000001,City of London,74846.18 ,58347.32 
E01000002,City of London 001B,E09000001,City of London,73325.39 ,57159.50 
E01000003,City of London 001C,E09000001,City of London,44130.31 ,34386.56 
E01000005,City of London 001E,E09000001,City of London,30780.84 ,23999.85 
E01032739,City of London 001F,E09000001,City of London,68021.74 ,53017.04 
E01032740,City of London 001G,E09000001,City of London,67266.44 ,52427.11 
E01000006,Barking and Dagenham 016A,E09000002,Barking and Dagenham,46141.12 ,39140.64 
E01000007,Barking and Dagenham 015A,E09000002,Barking and Dagenham,30821.83 ,26228.95 
E01000008,Barking and Dagenham 015B,E09000002,Barking and Dagenham,28358.78 ,24203.85 
E01000009,Barking and Dagenham 016B,E09000002,Barking and Dagenham,38261.38 ,32464.43 
E01000010,Barking and Dagenham 015C,E09000002,Barking and Dagenham,37276.77 ,31630.20 
E01000011,Barking and Dagenham 016C,E09000002,Barking and Dagenham,33132.74 ,28128.96 
E01000012,Barking and Dagenham 015D,E09000002,Barking and Dagenham,32616.73 ,27704.71 
E01000013,Barking and Dagenham 013A,E09000002,Barking and Dagenham,32741.97 ,27807.67 
E01000014,Barking and Dagenham 013B,E09000002,Barking and Dagenham,32307.84 ,27450.74 
E01000015,Barking and Dagenham 009A,E09000002,Barking and Dagenham,31524.50 ,26806.68 
E01000016,Barking and Dagenham 009B,E09000002,Barking and Dagenham,33564.26 ,28483.76 
E01000017,Barking and Dagenham 009C,E09000002,Barking and Dagenham,32478.52 ,27591.07 
E01000018,Barking and Dagenham 009D,E09000002,Barking and Dagenham,33842.83 ,28720.74 
E01000019,Barking and Dagenham 023A,E09000002,Barking and Dagenham,33769.65 ,28658.74 
E01000020,Barking and Dagenham 023B,E09000002,Barking and Dagenham,33994.94 ,28849.62 
E01000021,Barking and Dagenham 008A,E09000002,Barking and Dagenham,30889.85 ,26284.88 
E01000022,Barking and Dagenham 008B,E09000002,Barking and Dagenham,35700.45 ,30294.65 
E01000023,Barking and Dagenham 008C,E09000002,Barking and Dagenham,33985.84 ,28841.91 
E01000024,Barking and Dagenham 008D,E09000002,Barking and Dagenham,33338.12 ,28297.83 
E01000025,Barking and Dagenham 008E,E09000002,Barking and Dagenham,34076.04 ,28918.34 
E01000027,Barking and Dagenham 001A,E09000002,Barking and Dagenham,31995.11 ,27193.61 
E01000028,Barking and Dagenham 001B,E09000002,Barking and Dagenham,30915.21 ,26305.73 
E01000029,Barking and Dagenham 001C,E09000002,Barking and Dagenham,43034.48 ,36508.50 
E01000030,Barking and Dagenham 001D,E09000002,Barking and Dagenham,29507.79 ,25148.56 
E01000031,Barking and Dagenham 002A,E09000002,Barking and Dagenham,47995.05 ,40711.41 
E01000032,Barking and Dagenham 002B,E09000002,Barking and Dagenham,40235.91 ,34137.37 
E01000033,Barking and Dagenham 006A,E09000002,Barking and Dagenham,30599.78 ,26046.38 
E01000034,Barking and Dagenham 003A,E09000002,Barking and Dagenham,36749.26 ,31183.26 
